Frequency Slot,Configuration Time (s)
191300.0,3.486752
191400.0,3.50613
191500.0,3.52261
191600.0,3.522763
191700.0,4.502804
191800.0,3.51258
191900.0,4.499033
192000.0,3.506498
192100.0,3.51342
192200.0,3.488336
192300.0,4.495151
192400.0,4.528419
192500.0,4.489145
192600.0,4.516824
192700.0,4.074598
192800.0,3.605917
192900.0,3.502834
193000.0,4.622691
193100.0,4.608959
193200.0,4.505393
193300.0,4.546049
193400.0,4.578846
193500.0,4.526807
193600.0,4.571091
193700.0,4.596791
193800.0,3.738239
193900.0,4.529093
194000.0,3.624417
194100.0,4.539549
194200.0,4.497622
194300.0,4.51849
194400.0,3.478984
194500.0,4.503725
194600.0,4.471401
194700.0,4.582399
194800.0,4.514019
194900.0,4.483958
195000.0,4.483315
195100.0,4.510004
195200.0,4.489138
195300.0,4.487267
195400.0,4.538744
195500.0,4.523065
195600.0,4.490052
195700.0,5.003223
195800.0,4.480781
195900.0,4.540682
196000.0,4.746701
196100.0,4.59082
191300.0,3.609595
191400.0,3.524297
191500.0,3.499663
191600.0,4.488001
191700.0,4.489337
191800.0,3.125045
191900.0,4.499141
192000.0,4.551313
192100.0,4.52277
192200.0,4.510084
192300.0,4.606624
192400.0,4.630501
192500.0,4.493187
192600.0,4.594155
192700.0,4.50079
192800.0,4.696554
192900.0,4.68408
193000.0,4.500277
193100.0,4.863139
193200.0,4.675868
193300.0,4.538559
193400.0,4.533194
193500.0,4.510471
193600.0,4.638556
193700.0,4.505697
193800.0,4.484994
193900.0,4.516774
194000.0,4.482796
194100.0,4.48399
194200.0,4.514329
194300.0,4.513936
194400.0,4.486743
194500.0,4.591771
194600.0,4.492973
194700.0,4.547531
194800.0,4.498648
194900.0,4.491241
195000.0,4.511096
195100.0,4.522271
195200.0,4.493251
195300.0,4.626742
195400.0,4.663838
195500.0,3.49207
195600.0,3.503252
195700.0,4.70701
195800.0,4.503614
195900.0,4.56887
196000.0,4.498788
196100.0,4.714971
191300.0,3.6158674451216273
191300.0,3.4015457341278803
191300.0,3.5004947886234365
191400.0,3.661948806712009
191400.0,3.5300976599278933
191400.0,3.5606210687468556
191500.0,3.5862890318603964
191500.0,3.5185796457004637
191500.0,3.5930249815515567
191600.0,3.379584541416269
191600.0,3.329874825231675
191600.0,3.582790088993778
191700.0,4.574574610840398
191700.0,4.566955891305065
191700.0,4.666378066681635
191800.0,3.538479707340803
191800.0,3.746243606852523
191800.0,3.411685464258252
191900.0,4.544723741462189
191900.0,4.53541304290473
191900.0,4.532096572596597
192000.0,3.505191884820473
192000.0,3.5356304447173206
192000.0,3.5913663150830413
192100.0,3.40998136566547
192100.0,3.328870286251033
192100.0,3.6046403401178657
192200.0,3.476307528659872
192200.0,3.419994113453529
192200.0,3.4160424920669366
192300.0,4.375655257681327
192300.0,4.599980474419757
192300.0,4.49485019019767
192400.0,4.452573239013935
192400.0,4.503870516756035
192400.0,4.490524713734406
192500.0,4.574990790331534
192500.0,4.564421825518298
192500.0,4.286518606492494
192600.0,4.478076681945832
192600.0,4.399699292366806
192600.0,4.618850892042564
192700.0,4.065741532309704
192700.0,4.144831356658088
192700.0,4.116365186831478
192800.0,3.5318760969354868
192800.0,3.6079396409057587
192800.0,3.573066016232088
192900.0,3.4917652851710894
192900.0,3.5313040269718146
192900.0,3.603319053103595
193000.0,4.843679285211976
193000.0,4.611363041013426
193000.0,4.652028062179135
193100.0,4.729288917057075
193100.0,4.502834314509237
193100.0,4.519714828652861
193200.0,4.498185524875383
193200.0,4.345889953566265
193200.0,4.442229166640353
193300.0,4.466742526920556
193300.0,4.54745730818289
193300.0,4.432772866109629
193400.0,4.501658894850191
193400.0,4.7194450291324745
193400.0,4.643696861978
193500.0,4.681001449486341
193500.0,4.5911924380706495
193500.0,4.712645219879828
193600.0,4.648315260246962
193600.0,4.6000548194378315
193600.0,4.516869027000128
193700.0,4.653995575686515
193700.0,4.706115024522718
